Date (GMT),Open,High,Low,Last
2014/4/16,46500,46970,46490,46830
2014/4/17,47230,47370,47060,47180
2014/4/18,47090,47360,46990,47120
2014/4/21,47020,47470,46950,47300
2014/4/22,47430,47530,47260,47360
2014/4/23,47380,47780,47380,47560
2014/4/24,47550,48140,47490,47820
2014/4/25,48120,49100,48110,48610
2014/4/28,48980,49300,48840,49120
2014/4/29,49160,49430,48710,49070
2014/4/30,48800,48870,48610,48730
2014/5/5,48860,49050,48750,48920
2014/5/6,48940,48960,48670,48790
2014/5/7,48800,48900,48510,48680
2014/5/8,48410,48550,48170,48350
2014/5/9,48590,49090,48590,48890
2014/5/12,49070,50200,49070,49850
2014/5/13,50500,51320,49980,50460
2014/5/14,51320,51530,50150,50330
2014/5/15,50450,50750,50450,50570
2014/5/16,49900,49900,49520,49710
2014/5/19,49760,50280,49590,49910
2014/5/20,49910,50120,49800,49880
2014/5/21,49500,49580,48950,49280
2014/5/22,48780,49330,48690,49130
2014/5/23,49150,49750,49140,49410
2014/5/26,49730,50120,49710,49970
2014/5/27,49960,50100,49830,49910
2014/5/28,49860,49970,49720,49820
2014/5/29,49900,49940,49410,49650
2014/5/30,49410,49760,49340,49470
2014/6/3,49780,49900,49690,49770
2014/6/4,49700,49730,49490,49570
2014/6/5,49270,49710,49270,49520
2014/6/6,49550,49730,49400,49550
2014/6/9,49170,49230,48130,48720
2014/6/10,48500,48560,48340,48420
2014/6/11,48420,48650,48280,48480
2014/6/12,48370,48730,48370,48560
2014/6/13,49450,49450,48520,48860
2014/6/16,49190,51300,49100,49390
2014/6/17,48570,48810,48510,48730
2014/6/18,48580,48960,48540,48740
2014/6/19,48740,48850,48410,48580
2014/6/20,48670,49310,48650,49060
2014/6/23,49010,50070,49010,49900
2014/6/24,50020,50120,49680,49840
2014/6/25,49940,49980,49750,49850
2014/6/26,49850,50440,49770,50270
2014/6/27,50370,50500,50200,50370
2014/6/30,50530,50730,50380,50530
2014/7/1,50750,51540,50710,51370
2014/7/2,51530,51620,51060,51260
2014/7/3,51600,52200,51480,51920
2014/7/4,52210,52490,52100,52290
2014/7/7,52350,52700,51480,51800
2014/7/8,51700,52060,51600,51740
2014/7/9,52240,52240,51570,51680
2014/7/10,51650,51650,51180,51270
2014/7/11,51360,51740,51360,51580
2014/7/14,51460,51850,51450,51720
2014/7/15,51450,51500,50050,50920
2014/7/16,50990,51050,50720,50890
2014/7/17,50780,50850,50080,50350
2014/7/18,50340,50350,50040,50210
2014/7/21,49920,49980,49580,49820
2014/7/22,50130,50380,49950,50210
2014/7/23,50240,50350,49970,50090
2014/7/24,50240,50840,50140,50590
2014/7/25,50850,51100,50730,50910
2014/7/28,50980,51080,50450,50590
2014/7/29,50640,50910,50570,50790
2014/7/30,50600,50630,50300,50430
2014/7/31,50660,50810,50610,50670
2014/8/1,50890,50930,50560,50720
2014/8/4,50800,50820,50450,50590
2014/8/5,50900,50940,50690,50790
2014/8/6,49520,50510,49520,50300
2014/8/7,49900,50290,49900,50180
2014/8/8,50220,50400,50050,50160
2014/8/11,50150,50500,50150,50420
2014/8/12,50360,50390,50050,50200
2014/8/13,50260,50260,49860,50000
2014/8/14,49800,49820,49440,49580
2014/8/15,50220,50220,49150,49320
2014/8/18,49210,49480,49090,49330
2014/8/19,49300,49650,49290,49450
2014/8/20,49500,49830,49170,49510
2014/8/21,49860,50740,49860,50390
2014/8/22,50540,51070,50420,50830
2014/8/25,51350,51350,50850,50950
2014/8/26,51040,51080,50750,50870
2014/8/27,50930,50940,50460,50640
2014/8/28,50450,50720,50340,50500
2014/8/29,50230,50380,49780,50080
2014/9/1,50140,50540,50010,50250
2014/9/2,49900,50400,49900,50220
2014/9/3,50100,50470,49990,50240
2014/9/4,50150,50170,49900,50080
2014/9/5,50430,50490,50160,50310
2014/9/9,50410,51200,49950,50160
2014/9/10,49920,49940,49390,49550
2014/9/11,49550,49630,49100,49430
2014/9/12,49210,49500,49200,49290
2014/9/15,49500,49500,48900,49030
2014/9/16,48830,49290,48700,49080
2014/9/17,49150,51490,49000,49720
2014/9/18,49690,49950,49380,49590
2014/9/19,49130,49470,49100,49280
2014/9/22,49370,49390,48280,48670
2014/9/23,48460,48780,48220,48570
2014/9/24,48500,48840,48320,48520
2014/9/25,48220,48900,48210,48570
2014/9/26,48430,48750,48280,48560
2014/9/29,48460,48750,48250,48410
2014/9/30,48590,49210,48470,48870
2014/10/8,48720,48930,48430,48660
2014/10/9,48570,48620,48200,48480
2014/10/10,48380,48760,48130,48290
2014/10/13,48000,48700,48000,48570
2014/10/14,48500,48700,48500,48560
2014/10/15,48640,49000,48640,48910
2014/10/16,48390,48460,47810,48100
2014/10/17,47500,47810,47150,47510
2014/10/20,47170,47810,47170,47570
2014/10/21,47360,47720,47270,47510
2014/10/22,47760,48080,47760,47890
2014/10/23,47910,47980,47710,47860
2014/10/24,47940,48180,47850,48030
2014/10/27,48150,48230,47790,47870
2014/10/28,48040,48320,48030,48200
2014/10/29,48540,48540,48180,48300
2014/10/30,48410,48700,48190,48390
2014/10/31,48090,48620,47950,48330
2014/11/3,48440,48440,47960,48170
2014/11/4,48160,48520,48160,48340
2014/11/5,47930,47980,47480,47760
2014/11/6,47530,47900,47520,47760
2014/11/7,47700,48110,47700,47980
2014/11/10,47970,48360,47970,48270
2014/11/11,48100,48160,47930,48020
2014/11/12,47820,48220,47800,48100
2014/11/13,48160,48180,48030,48090
2014/11/14,48190,48190,47690,47830
2014/11/17,47730,48450,47730,48250
2014/11/18,47800,48040,47770,47880
2014/11/19,47610,47800,47500,47680
2014/11/20,47750,48040,47610,47860
2014/11/21,48320,48320,47550,47870
2014/11/24,48300,48550,48100,48240
2014/11/25,48020,48190,47870,47990
2014/11/26,48050,48110,47410,47630
2014/11/27,47570,47640,47270,47470
2014/11/28,47550,47550,46760,46990
2014/12/1,46650,46650,44800,45350
2014/12/2,45670,46560,45670,46290
2014/12/3,45950,46450,45820,46240
2014/12/4,46250,46670,46080,46470
2014/12/5,46580,47190,46510,46800
2014/12/8,46900,46910,46690,46810
2014/12/9,46400,46720,46350,46460
2014/12/10,46570,47570,46560,46960
2014/12/11,46890,47100,46650,46940
2014/12/12,47140,47200,47020,47100
2014/12/15,47150,48600,47150,47620
2014/12/16,47120,47170,46200,46420
2014/12/17,46290,46380,45760,46080
2014/12/18,45780,46500,45580,46070
2014/12/19,46070,46340,45980,46140
2014/12/22,46550,46790,46350,46600
2014/12/23,46610,46700,46350,46480
2014/12/24,46230,46530,46190,46400
2014/12/25,46310,46500,46200,46410
2014/12/26,46500,46500,46200,46390
2014/12/29,46420,46420,45830,46110
2014/12/30,46000,46320,45750,46190
2014/12/31,46150,46780,46050,46560
2015/1/5,46340,46360,45910,46100
2015/1/6,45960,45960,44950,45560
2015/1/7,45620,45670,45300,45530
2015/1/8,45650,45700,45430,45580
2015/1/9,45780,45800,45200,45360
2015/1/12,45200,45300,44620,44980
2015/1/13,45030,45030,43650,44290
2015/1/14,42420,43360,42070,42540
2015/1/15,39130,41500,39130,40870
2015/1/16,42000,42020,40910,41270
2015/1/19,41140,42170,41040,41760
2015/1/20,41400,41810,41260,41560
2015/1/21,41670,41790,41330,41530
2015/1/22,41080,42310,41080,41820
2015/1/23,41700,42000,41000,41350
2015/1/26,41100,41100,39280,40030
2015/1/27,40030,41150,40030,40660
2015/1/28,40500,40650,39850,40170
2015/1/29,40210,40440,39850,40030
2015/1/30,39810,40010,39480,39730
2015/2/2,40020,40630,39860,40410
2015/2/3,40490,41000,40360,40800
2015/2/4,41300,42090,41120,41580
2015/2/5,41550,41610,41160,41300
2015/2/6,41000,41800,41000,41670
2015/2/9,41700,41700,41210,41310
2015/2/10,41350,41500,41150,41300
2015/2/11,41120,41360,41020,41180
2015/2/12,41280,41340,41000,41140
2015/2/13,41580,42290,41330,41880
2015/2/16,42400,42400,41800,41970
2015/2/17,42160,42330,42020,42150
2015/2/25,42240,42380,42020,42150
2015/2/26,42180,42770,42090,42440
2015/2/27,43040,43070,42680,42840
2015/3/2,42800,43400,42630,43070
2015/3/3,43100,43370,42630,42780
2015/3/4,42550,42680,42380,42610
2015/3/5,42630,42630,42360,42560
2015/3/6,42500,42740,42190,42410
2015/3/9,42320,42430,41850,42050
2015/3/10,42370,42800,42300,42520
2015/3/11,42100,42300,42000,42210
2015/3/12,41290,42500,41290,42090
2015/3/13,42500,42800,42310,42640
2015/3/16,42500,42700,41500,42460
2015/3/17,42800,42940,42260,42540
2015/3/18,42150,42400,41660,42130
2015/3/19,41590,42080,41200,41680
2015/3/20,42090,42490,41880,42180
2015/3/23,42480,44050,42420,43440
2015/3/24,43740,44620,43540,43920
2015/3/25,43800,43960,43470,43660
2015/3/26,43760,44040,43660,43910
2015/3/27,44000,44370,43500,43820
2015/3/30,43760,44000,43530,43740
2015/3/31,43920,44100,43320,43760
2015/4/1,43530,43680,43250,43440
2015/4/2,43300,43650,43190,43450
2015/4/3,43440,43550,43280,43450
2015/4/7,43480,43670,43480,43550
2015/4/8,43630,43850,43470,43570
2015/4/9,43490,43600,43210,43350
2015/4/10,43490,43700,43340,43530
2015/4/13,43620,44000,43500,43690
2015/4/14,43700,43700,42900,43380
2015/4/15,43200,43920,42750,43080
2015/4/16,42980,43590,42850,43350
2015/4/17,43900,43990,43680,43810
2015/4/20,43500,44100,43500,43920
2015/4/21,43510,43570,43280,43460
2015/4/22,43240,43490,43210,43350
2015/4/23,43320,43470,42900,43160
2015/4/24,43280,43570,43250,43420
2015/4/27,43910,44090,43620,43890
2015/4/28,44130,44340,43830,44050
2015/4/29,44040,44270,43910,44020
2015/4/30,44070,44550,44020,44300
2015/5/4,45380,45960,45380,45650
2015/5/5,46050,46070,45680,45830
2015/5/6,46030,46480,45950,46180
2015/5/7,46210,46260,45830,45930
2015/5/8,45960,46100,45860,45970
2015/5/11,46000,46070,45720,45810
2015/5/12,45800,45960,45740,45810
2015/5/13,46200,46460,45900,46100
2015/5/14,46200,46200,45880,45990
2015/5/15,45960,46080,45760,45860
2015/5/18,45950,46190,45810,46030
2015/5/19,45960,46010,45740,45850
2015/5/20,45400,45470,44740,45020
2015/5/21,45100,45260,44800,45100
2015/5/22,45130,45340,45110,45190
2015/5/25,44610,44850,44600,44710
2015/5/26,44850,45220,44570,44920
2015/5/27,44550,44610,44250,44440
2015/5/28,44260,44540,44180,44310
2015/5/29,44330,44900,44170,44400
2015/6/1,44200,44300,43750,43890
2015/6/2,43720,43900,43570,43730
2015/6/3,43950,43990,43650,43870
2015/6/4,43760,43820,43520,43620
2015/6/5,43480,43600,42950,43130
2015/6/8,43000,43370,42960,43290
2015/6/9,43270,43500,43220,43360
2015/6/10,43700,43890,43400,43480
2015/6/11,43760,43880,43400,43720
2015/6/12,43250,46330,42800,43000
2015/6/15,43890,43890,42510,42830
2015/6/16,42320,42470,42160,42320
2015/6/17,42220,42220,41870,41990
2015/6/18,42060,42340,41770,42110
2015/6/19,42050,42200,41910,42020
2015/6/23,41780,42100,41730,42010
2015/6/24,42030,42410,41920,42150
2015/6/25,42450,42480,41510,42070
2015/6/26,42030,42720,41850,42170
2015/6/29,42240,42860,42160,42430
2015/6/30,42580,42700,42260,42490
2015/7/1,42150,42550,41900,42300
2015/7/2,42280,42720,42200,42490
2015/7/3,42610,42700,42440,42570
2015/7/6,42530,42550,40730,41790
2015/7/7,41140,41390,40440,40910
2015/7/8,39810,40180,38450,39160
2015/7/9,39460,41320,39460,40930
2015/7/10,41660,41660,41060,41360
2015/7/13,42310,42310,40700,40840
2015/7/14,41080,41340,41060,41180
2015/7/15,41200,41420,41000,41330
2015/7/16,41050,41060,40490,40770
2015/7/17,40780,40930,40660,40780
2015/7/20,40490,40590,39930,40190
2015/7/21,40100,40530,39980,40300
2015/7/22,40220,40360,39400,39920
2015/7/23,39440,39770,39050,39410
2015/7/24,39480,39550,38300,38700
2015/7/27,38700,39160,38460,38830
2015/7/28,38380,38700,38180,38520
2015/7/29,38780,39950,38750,39400
2015/7/30,39320,39520,39010,39220
2015/7/31,38920,39100,38730,38910
2015/8/3,38880,39190,38460,38690
2015/8/4,38530,38760,38290,38480
2015/8/5,38880,38900,38450,38550
2015/8/6,38620,38640,38400,38550
