Date (GMT),Open,High,Low,Last
2014/4/16,14875,14955,14875,14910
2014/4/17,14955,15020,14955,14995
2014/4/18,15010,15015,14950,14965
2014/4/21,15000,15000,14965,14980
2014/4/22,14990,15010,14970,14980
2014/4/23,15050,15125,15050,15090
2014/4/24,15040,15125,15035,15080
2014/4/25,15135,15150,15080,15100
2014/4/28,15115,15140,15055,15075
2014/4/29,15085,15085,15010,15055
2014/4/30,15010,15035,14980,15010
2014/5/5,15000,15100,15000,15065
2014/5/6,15070,15100,15050,15055
2014/5/7,15090,15215,15090,15120
2014/5/8,15080,15080,15065,15070
2014/5/9,15075,15100,15075,15090
2014/5/12,15105,15170,15100,15135
2014/5/13,15220,15220,15180,15200
2014/5/14,15170,15210,15170,15185
2014/5/15,15205,15225,15190,15205
2014/5/16,15220,15220,15155,15175
2014/5/19,15175,15230,15170,15200
2014/5/20,15245,15250,15210,15220
2014/5/21,15200,15225,15190,15200
2014/5/22,15145,15190,15145,15175
2014/5/23,15205,15225,15175,15195
2014/5/26,15230,15245,15200,15210
2014/5/27,15215,15245,15175,15205
2014/5/28,15230,15230,15190,15200
2014/5/29,15185,15190,15120,15155
2014/5/30,15120,15145,15075,15110
2014/6/3,15170,15170,15150,15155
2014/6/4,15170,15170,15130,15135
2014/6/5,15130,15145,15120,15130
2014/6/6,15145,15155,15130,15140
2014/6/9,15120,15250,15110,15185
2014/6/10,15260,15295,15220,15255
2014/6/11,15595,15595,15480,15550
2014/6/12,15485,15510,15435,15470
2014/6/13,15400,15400,15240,15285
2014/6/16,15250,15260,15235,15245
2014/6/17,15360,15435,15350,15390
2014/6/18,15420,15545,15415,15475
2014/6/19,15465,15535,15395,15465
2014/6/20,15535,15700,15520,15620
2014/6/23,15670,15705,15600,15640
2014/6/24,15705,15705,15510,15570
2014/6/25,15585,15585,15500,15525
2014/6/26,15555,15670,15555,15600
2014/6/27,15665,15665,15600,15615
2014/6/30,15630,15850,15600,15685
2014/7/1,15870,15950,15780,15845
2014/7/2,15840,15840,15465,15670
2014/7/3,15770,16160,15760,16040
2014/7/4,16070,16080,15965,16005
2014/7/7,16025,16060,15840,15905
2014/7/8,16040,16300,16010,16165
2014/7/9,16250,16255,16090,16180
2014/7/10,16230,16260,16080,16125
